,Player,Actual_ROI,Pick,Position,Predicted_Probability,Surplus_AV,Expected_AV,Actual_hit
3799,Nathan Thomas,0.2219608200915875,233,LT,0.028926709511627752,-0.6658824602747626,2.3341175397252374,0
3800,Devaughn Vele,0.5663746084632669,235,WR,0.013063816198458275,-1.6991238253897998,2.3008761746102,0
3801,Myles Cole,-0.7614369042986034,236,ED,0.0038759689778089523,2.2843107128958104,2.2843107128958104,0
3802,Matt Lee,-0.0892598011256842,237,C,0.0,0.26777940337705264,2.2677794033770526,0
3803,Solomon Byrd,-0.7504267678409923,238,ED,0.025978359548995893,2.251280303522977,2.251280303522977,0
3804,Tahj Washington,-0.7339858253175161,241,WR,0.0012870013403395812,2.201957475952548,2.201957475952548,0
3805,James Williams,0.271477119885503,242,LB,0.0,-0.8144313596565089,2.185568640343491,0
3806,Jowon Briggs,-0.389734312687354,243,IDL,0.009187847220649322,1.169202938062062,2.169202938062062,0
3807,Devin Culp,-0.3734093147589677,246,TE,0.013063816198458275,1.1202279442769032,2.120227944276903,0
3808,C.J. Hanson,-0.6958879153423938,248,RG,0.0033319912229975066,2.0876637460271814,2.0876637460271814,0
3809,Sanoussi Kane,-0.3517180178154636,250,S,0.005162970318148534,1.0551540534463908,2.055154053446391,0
3810,Tatum Bethune,0.9870279782106408,251,LB,0.0,-2.961083934631922,2.038916065368078,0
3811,Jaylen Harrell,0.3257708376157279,252,ED,0.0012870013403395812,-0.9773125128471838,2.022687487152816,0
3812,Cam Ward,-1.633508389176888,1,QB,0.2144656628370285,24.01257332090025,31.01257332090025,1
3813,Travis Hunter,-1.7732464748233263,2,WR,0.16981973002354303,25.35742458997357,30.35742458997357,1
3814,Abdul Carter,-1.824129836442196,3,ED,0.34968996544679004,25.72023069383496,29.72023069383496,1
3815,Will Campbell,-1.6484702404862983,4,LT,0.052072216446201004,21.10041907822462,29.10041907822462,1
3816,Mason Graham,-1.6940031147334735,5,IDL,0.2444851597150167,20.49743768827503,28.49743768827503,1
3817,Ashton Jeanty,-1.918417813099088,6,RB,0.23595131436983743,20.91075416278006,27.91075416278006,1
3818,Armand Membou,-2.0545308144140364,7,RT,0.1486898890386025,20.33985506269896,27.33985506269896,1
3819,Tetairoa McMillan,-2.0679354805045573,8,WR,0.2331854651371638,17.7842451323392,26.7842451323392,1
3820,Kelvin Banks,-2.3538891385740714,9,LT,0.11148738488554955,20.24344659173702,26.24344659173702,1
3821,Colston Loveland,-2.255060055280235,10,TE,0.19879715392986932,18.716998458825955,25.716998458825955,1
3822,Mykel Williams,-2.986543084514237,11,ED,0.23117144405841827,21.204455900051084,25.204455900051084,1
3823,Tyler Booker,-2.791849195246416,12,LG,0.23596487939357758,18.705389608150988,24.705389608150988,1
3824,Kenneth Grant,-3.12049782439567,13,IDL,0.22124691804250082,21.21938520589056,24.21938520589056,1
3825,Tyler Warren,-2.2686219499362084,14,TE,0.18053680409987768,14.746042674585361,23.74604267458536,1
3826,Jalon Walker,-2.8570274697364773,15,ED,0.35664307574431103,18.28497580631345,23.28497580631345,1
3827,Walter Nolen,-3.700985030298805,16,IDL,0.2508765459060669,21.835811678762948,22.835811678762948,1
3828,Shemar Stewart,-3.4573203646970723,17,ED,0.15150724413494268,20.39819015171273,22.39819015171273,1
3829,Grey Zabel,-2.6266251551213267,18,LT,0.20218038062254587,14.971763384191561,21.97176338419156,1
3830,Emeka Egbuka,-2.242177744893763,19,WR,0.27411478757858276,12.556195371405074,21.556195371405074,1
3831,Jahdae Barron,-3.184414298344384,20,CB,0.26274550954500836,18.151161500562985,21.151161500562985,1
3832,Derrick Harmon,-3.046608749959893,21,IDL,0.2444851597150167,16.75634812477941,20.75634812477941,1
3833,Omarion Hampton,-2.794809482592261,22,RB,0.17948324978351593,15.37145215425744,20.37145215425744,1
3834,Matthew Golden,-2.9083964843647254,23,WR,0.2444851597150167,15.99618066400599,19.99618066400599,1
3835,Donovan Jackson,-2.760424625919158,24,LT,0.22550695637861887,14.630250517371536,19.630250517371536,1
3836,Jaxson Dart,-1.5610166046604852,25,QB,0.18456768989562988,8.273388004700571,19.27338800470057,1
3837,James Pearce,-3.004778961600011,26,ED,0.16374248017867407,15.92532849648006,18.92532849648006,1
3838,Malaki Starks,-2.612656944294838,27,S,0.21367494761943817,13.585816110333159,18.58581611033316,1
3839,Tyleik Williams,-2.7950202727992166,28,IDL,0.20810505747795105,14.254603391276003,18.254603391276003,1
