Season,ranker,name_display,player_id,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards
2002,150,Tony Yelk,tony-yelk-1,Iowa State,Big 12,14,0,0,,1,3,33.3,3,
2002,151,Chris McMurtray,chris-mcmurtray-1,SMU,WAC,12,10,11,90.9,1,4,25.0,13,
2002,152,Ryan Cesca,ryan-cesca-1,Oregon State,Pac-10,13,5,5,100.0,1,4,25.0,8,
2002,153,Wes Zunker,wes-zunker-1,New Mexico,MWC,5,11,11,100.0,1,4,25.0,14,
2002,154,Alex Pettersen,alex-pettersen-1,Missouri,Big 12,12,3,4,75.0,0,2,0.0,3,
2002,155,Brian Huffman,brian-huffman-1,Northwestern,Big Ten,12,4,4,100.0,0,1,0.0,4,
2002,156,Brian Simnjanovski,brian-simnjanovski-1,San Diego State,MWC,13,0,1,0.0,0,1,0.0,0,
2002,157,Chris Stoffel,chris-stoffel-1,Central Michigan,MAC,12,0,0,,0,1,0.0,0,
2002,158,Cort Moffitt,cort-moffitt-1,Tulsa,WAC,12,0,1,0.0,0,1,0.0,0,
2002,159,Dan Burnett,dan-burnett-1,Georgia Tech,ACC,13,3,3,100.0,0,2,0.0,3,
2002,160,Michael Cortese,michael-cortese-1,Rutgers,Big East,1,0,0,,0,1,0.0,0,
2002,161,Nurahda Manning,nurahda-manning-1,Texas A&M,Big 12,4,0,0,,0,1,0.0,0,
2002,162,Ryan Plackemeier,ryan-plackemeier-1,Wake Forest,ACC,13,4,4,100.0,0,2,0.0,4,
2002,163,Andrico Hines,andrico-hines-1,Middle Tennessee State,Sun Belt,11,0,1,0.0,0,0,,0,
2002,164,_ Belmonte,belmonte-1,Michigan State,Big Ten,6,2,2,100.0,0,0,,2,
2002,165,Ben Lewis,ben-lewis-1,Marshall,MAC,1,2,2,100.0,0,0,,2,
2002,166,Bobby Belmonte,bobby-belmonte-1,Michigan State,Big Ten,1,2,2,100.0,0,0,,2,
2002,167,Brendt Talcott,brendt-talcott-1,Florida,SEC,13,3,4,75.0,0,0,,3,
2002,168,Bryan Smith,bryan-smith-1,Virginia,ACC,3,4,6,66.7,0,0,,4,
2002,169,Charlie Macinnis,charlie-macinnis-1,West Virginia,Big East,1,1,1,100.0,0,0,,1,
2002,170,Clint Ruth,clint-ruth-1,Kentucky,SEC,11,6,6,100.0,0,0,,6,
2002,171,David Kimball,david-kimball-1,Penn State,Big Ten,13,3,4,75.0,0,0,,3,
2002,172,Don Urquhart,don-urquhart-1,Southern Mississippi,CUSA,2,2,2,100.0,0,0,,2,
2002,173,J.D. Wallum,jd-wallum-1,Wyoming,MWC,2,1,2,50.0,0,0,,1,
2002,174,John Michael Marlin,john-michael-marlin-1,Mississippi State,SEC,12,1,2,50.0,0,0,,1,
2002,175,John Pierson,john-pierson-2,Texas A&M,Big 12,3,7,9,77.8,0,0,,7,
2002,176,Jonathan Yudt,jonathan-yudt-1,Boston College,Big East,13,0,1,0.0,0,0,,0,
2002,177,Josh Brown,josh-brown-3,South Carolina,SEC,2,1,1,100.0,0,0,,1,
2002,178,J.T. Eberly,jt-eberly-1,Colorado,Big 12,11,1,1,100.0,0,0,,1,
2002,179,Justin Hutton,justin-hutton-1,Kentucky,SEC,10,3,3,100.0,0,0,,3,
2002,180,Katie Hnida,katie-hnida-1,New Mexico,MWC,1,0,1,0.0,0,0,,0,
2002,181,Kenny Webb,kenny-webb-1,Baylor,Big 12,12,1,1,100.0,0,0,,1,
2002,182,Luke Donovan,luke-donovan-1,Wyoming,MWC,12,1,3,33.3,0,0,,1,
2002,183,Mark Gent,mark-gent-1,Miami (FL),Big East,13,0,1,0.0,0,0,,0,
2002,184,Matt Brooks,matt-brooks-1,Duke,ACC,12,0,1,0.0,0,0,,0,
